Ubigeo,Densidad
200507,41.96
200600,57.05
200601,319.50
200602,12510.00
200603,66.52
200604,5.63
200605,17.52
200606,18.83
200607,97.76
200608,251.68
200700,51.50
200701,88.01
200702,16.94
200703,18.02
200704,5.63
200705,64.84
200706,130.28
200800,12.55
200801,7.81
200802,342.71
200803,95.21
200804,18.38
200805,59.89
200806,158.11
210000,17.50
210100,33.80
210101,293.47
210102,11.83
210103,230.13
210104,36.44
210105,64.44
210106,58.01
210107,63.35
210108,24.27
210109,12.52
210110,24.85
210111,3.48
210112,29.79
210113,6.40
210114,3.50
210115,14.31
210200,22.21
210201,42.59
210202,21.41
210203,21.27
210204,36.95
210205,19.94
210206,45.28
210207,63.74
210208,8.44
210209,6.53
210210,51.03
210211,14.17
210212,12.92
210213,26.80
210214,14.64
210215,13.72
210300,5.98
210301,12.30
210302,5.18
210303,8.52
210304,1.80
210305,4.97
210306,10.89
210307,6.27
210308,10.22
210309,3.37
210310,13.96
210400,22.37
210401,27.46
210402,77.46
210403,13.10
210404,15.12
210405,8.57
210406,35.79
210407,30.95
210500,11.40
210501,52.59
210502,1.09
210503,67.97
210504,1.40
210505,2.51
210600,20.55
210601,49.06
210602,4.27
210603,28.81
210604,9.14
210605,33.36
210606,13.55
210607,66.63
210608,14.45
210700,7.05
210701,16.58
210702,12.08
210703,11.24
210704,17.61
210705,2.55
210706,3.75
210707,3.67
210708,9.86
210709,4.40
210710,7.85
210800,10.41
210801,24.14
210802,8.43
210803,9.28
210804,11.72
210805,10.31
210806,3.84
210807,20.19
210808,7.84
210809,11.00
210900,19.67
210901,23.32
210902,43.16
210903,6.73
210904,51.48
211000,11.26
211001,14.44
211002,13.42
211003,3.37
211004,10.03
211005,10.12
211100,134.95
211101,428.33
211102,25.36
211103,3.60
211104,23.84
211105,511.99
211200,4.28
211201,17.70
211202,9.97
211203,1.41
211204,8.34
211205,12.70
211206,4.76
211207,18.95
211208,2.89
211209,5.87
211210,1.70
211300,127.38
211301,143.36
211302,178.20
211303,99.04
211304,57.73
211305,112.96
211306,158.17
211307,96.09
220000,15.85
220100,32.44
220101,27.88
220102,48.52
220103,18.41
220104,42.71
220105,55.45
220106,28.65
220200,6.84
220201,58.86
220202,1.25
220203,13.45
220204,12.91
220205,23.87
220206,61.56
220300,28.31
220301,48.80
220302,13.87
220303,18.56
220304,26.06
220305,125.17
220400,11.55
220401,24.63
220402,3.32
220403,17.12
220404,23.07
220405,17.13
220406,21.32
220500,16.04
220501,181.21
220502,45.79
220503,6.04
220504,5.69
220505,17.28
220506,15.43
220507,88.62
220508,3.11
220509,79.00
220510,28.62
